q0,Ar,x/d0,y/d0,,
22.92616151,0.33,0,0,,
22.92616151,0.33,0.021551724,0.475862069,,
22.92616151,0.33,0.043103448,0.907758621,,
22.92616151,0.33,0.172413793,1.448275862,,
22.92616151,0.33,0.259482759,1.902586207,,
22.92616151,0.33,0.388793103,2.378448276,,
22.92616151,0.33,0.518965517,2.897413793,,
22.92616151,0.33,0.648275862,3.41637931,,
22.92616151,0.33,0.778448276,3.806034483,,
22.92616151,0.33,0.907758621,4.368103448,,
22.92616151,0.33,1.037931034,4.843965517,,
22.92616151,0.33,1.167241379,5.319827586,,
22.92616151,0.33,1.362068966,5.849137931,,
22.92616151,0.33,1.492241379,6.368965517,,
22.92616151,0.33,1.664655172,6.83362069,,
22.92616151,0.33,1.881034483,7.244827586,,
22.92616151,0.33,2.075862069,7.698275862,,
22.92616151,0.33,2.270689655,8.109482759,,
22.92616151,0.33,2.465517241,8.509482759,,
22.92616151,0.33,2.659482759,8.86637931,,
22.92616151,0.33,2.811206897,9.234482759,,
22.92616151,0.33,3.027586207,9.580172414,,
22.92616151,0.33,3.275862069,9.937068966,,
22.92616151,0.33,3.470689655,10.2612069,,
22.92616151,0.33,3.697413793,10.61810345,,
22.92616151,0.33,3.913793103,10.89913793,,
22.92616151,0.33,4.173275862,11.24568966,,
22.92616151,0.33,4.368103448,11.59137931,,
22.92616151,0.33,4.670689655,11.87241379,,
22.92616151,0.33,4.887068966,12.19655172,,
22.92616151,0.33,5.103448276,12.47758621,,
22.92616151,0.33,5.34137931,12.78103448,,
22.92616151,0.33,5.557758621,13.06206897,,
22.92616151,0.33,5.817241379,13.34310345,,
22.92616151,0.33,6.119827586,13.6887931,,
22.92616151,0.33,6.379310345,13.99224138,,
22.92616151,0.33,6.681896552,14.31637931,,
22.92616151,0.33,6.985344828,14.64051724,,
22.92616151,0.33,7.352586207,14.9862069,,
22.92616151,0.33,7.698275862,15.26810345,,
22.92616151,0.33,8.023275862,15.57068966,,
22.92616151,0.33,8.347413793,15.87327586,,
22.92616151,0.33,8.628448276,16.13275862,,
22.92616151,0.33,8.975,16.45689655,,
22.92616151,0.33,9.342241379,16.74913793,,
22.92616151,0.33,9.731896552,17.04137931,,
22.92616151,0.33,9.99137931,17.30086207,,
22.92616151,0.33,10.38017241,17.56034483,,
22.92616151,0.33,10.76982759,17.86293103,,
22.92616151,0.33,11.11551724,18.10086207,,
22.92616151,0.33,11.4612069,18.40344828,,
22.92616151,0.33,11.85086207,18.70603448,,
22.92616151,0.33,12.28362069,18.96551724,,
22.92616151,0.33,12.62931034,19.31206897,,
22.92616151,0.33,13.01896552,19.55,,
22.92616151,0.33,13.40775862,19.85258621,,
22.92616151,0.33,13.75431034,20.19827586,,
22.92616151,0.33,14.1,20.4362069,,
22.92616151,0.33,14.48965517,20.7612069,,
22.92616151,0.33,14.92155172,21.19310345,,
22.92616151,0.33,15.41896552,21.47413793,,
22.92616151,0.33,15.93793103,21.90689655,,
22.92616151,0.33,16.43534483,22.25344828,,
22.92616151,0.33,16.825,22.64224138,,
22.92616151,0.33,17.25775862,22.90172414,,
22.92616151,0.33,17.66810345,23.22586207,,
22.92616151,0.33,18.05775862,23.55086207,,
22.92616151,0.33,18.59827586,23.89655172,,
22.92616151,0.33,19.1387931,24.2862069,,
22.92616151,0.33,19.59310345,24.675,,
22.92616151,0.33,20.06896552,24.97758621,,
22.92616151,0.33,20.50172414,25.23706897,,
22.92616151,0.33,20.91206897,25.49655172,,
22.92616151,0.33,21.53965517,25.90775862,,
22.92616151,0.33,22.05862069,26.29741379,,
22.92616151,0.33,22.62068966,26.66465517,,
22.92616151,0.33,23.13965517,26.96724138,,
22.92616151,0.33,23.74568966,27.35689655,,
22.92616151,0.33,24.22068966,27.61637931,,
22.92616151,0.33,24.71810345,27.91896552,,
